V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
36,5,3,0.0,uniform,7.178857797414499,7.178857797414499,7.178857797414499,0.0
36,5,3,0.01,uniform,7.177699600350566,7.177282223656175,7.178233611523204,0.0002681167524250847
36,5,3,0.02,uniform,7.176711617834579,7.175947800505672,7.177264718815856,0.0004322375192107787
36,5,3,0.03,uniform,7.175404846914813,7.172585564842116,7.17725774593207,0.0012779095468710977
36,5,3,0.04,uniform,7.173982432752966,7.171593324851776,7.175501215482295,0.0010531086020247674
36,5,3,0.05,uniform,7.17284965326913,7.169923449785472,7.1749323550576545,0.0015718610925582706
36,5,3,0.060000000000000005,uniform,7.170961390803488,7.166495007705487,7.175165841010808,0.0020283279729110446
36,5,3,0.06999999999999999,uniform,7.169397376376608,7.166633511842333,7.17653326878683,0.0026633823331463813
36,5,3,0.08,uniform,7.1699059142786865,7.164618881367438,7.174299201067781,0.0025716136605913567
36,5,3,0.09,uniform,7.168832595792329,7.163979294937673,7.1754470011352804,0.003228655903177005
36,5,3,0.09999999999999999,uniform,7.168049995931836,7.165556709928319,7.172333770439324,0.001956592571167985
36,5,3,0.11,uniform,7.164770920082456,7.158663343141125,7.168738918133912,0.003280444701154514
36,5,3,0.12,uniform,7.163795826602072,7.162191204416495,7.167784701144421,0.0015902375269019828
36,5,3,0.13,uniform,7.161778334996095,7.157415990257295,7.170032458032318,0.0038272251970388757
36,5,3,0.14,uniform,7.16263891830921,7.158405987047249,7.172349591774401,0.004015033180182714
36,5,3,0.15000000000000002,uniform,7.1606418564310745,7.153983586340008,7.166687409645326,0.004026060008409754
36,5,3,0.16,uniform,7.158876726660655,7.150457917838547,7.165189950324076,0.004728521682023047
36,5,3,0.17,uniform,7.159838190148268,7.151887891298402,7.164299572406261,0.0034867137292339187
36,5,3,0.18000000000000002,uniform,7.158482215726901,7.154840639361695,7.164499844060985,0.0030768202181136097
36,5,3,0.19,uniform,7.153456206800504,7.147360591793722,7.1606248448951595,0.0038958309493887086
36,5,3,0.2,uniform,7.155474351650481,7.1470939425885565,7.1628143756401075,0.004278388972333852
36,5,3,0.21000000000000002,uniform,7.154270853790368,7.14149452337424,7.156929253136638,0.004373392687709544
36,5,3,0.22,uniform,7.150695214761787,7.1418850914983345,7.157104188442592,0.005184574429745779
36,5,3,0.23,uniform,7.148005362089238,7.138390101742656,7.159177376045669,0.00536308787288805
36,5,3,0.24000000000000002,uniform,7.147114578332643,7.137157888132986,7.159035354470624,0.006394087497777754
36,5,3,0.25,uniform,7.148725308703791,7.139051169654726,7.159860133398418,0.005585017799108669
36,5,3,0.26,uniform,7.148788858756186,7.1422761238192365,7.155760042991836,0.004976171340694129
36,5,3,0.27,uniform,7.148499286853931,7.131967115167754,7.166987583505989,0.00856026695996911
36,5,3,0.28,uniform,7.1375912916292705,7.12727750573673,7.1519437119849405,0.006957270847296478
36,5,3,0.29000000000000004,uniform,7.141863797102586,7.131883788642269,7.148246275140841,0.005383274482257561
36,5,3,0.3,uniform,7.139486243909462,7.130426886253502,7.155845364366445,0.007267771746981841
36,5,3,0.31,uniform,7.137175702649037,7.126742287274942,7.148637611163185,0.005589639368432291
36,5,3,0.32,uniform,7.136190924749494,7.125694303907444,7.150547918341439,0.006681452519376663
36,5,3,0.33,uniform,7.130263680332959,7.103109010404537,7.151227244069974,0.012472558124235823
36,5,3,0.34,uniform,7.135027236881416,7.1137663796502535,7.153251534596107,0.010029194713883537
36,5,3,0.35000000000000003,uniform,7.132629540088627,7.121018410575256,7.145226558543573,0.00705261255928012
36,5,3,0.36000000000000004,uniform,7.133206497062159,7.11998466703106,7.144977897759795,0.0066881214908086585
36,5,3,0.37,uniform,7.123271316255755,7.101910110992087,7.139187892404208,0.011907219309807716
36,5,3,0.38,uniform,7.126092985872042,7.118229467371782,7.136153310161598,0.00599269384865688
36,5,3,0.39,uniform,7.124336731372495,7.105324893454151,7.134142649011523,0.010324224600734736
36,5,3,0.4,uniform,7.116690796276518,7.089269616621495,7.127507580337199,0.010391584236759531
36,5,3,0.41000000000000003,uniform,7.124356485973053,7.110748787787536,7.148624040174054,0.012152979374405353
36,5,3,0.42000000000000004,uniform,7.1173126094110755,7.097430177763693,7.1384963644489305,0.011243951765464116
36,5,3,0.43,uniform,7.107556245756371,7.091205727308898,7.1309843498730014,0.010562689593107775
36,5,3,0.44,uniform,7.117104325669841,7.087560241304042,7.141537264483026,0.013879846655480973
36,5,3,0.45,uniform,7.114187080982002,7.095095479258798,7.131662205510405,0.01255107097817014
36,5,3,0.46,uniform,7.116008124403225,7.085551625715542,7.133402840423565,0.014245398259989106
36,5,3,0.47000000000000003,uniform,7.118647219615207,7.105430624001455,7.1382095479647045,0.00820686186598946
36,5,3,0.48000000000000004,uniform,7.10657563967874,7.080954706437443,7.134994139554247,0.013817310428280698
36,5,3,0.49,uniform,7.104983740766393,7.077688358111162,7.12902823437743,0.01360819303767106
36,5,3,0.0,nearst-neighbour,9.907407407407407,9.907407407407407,9.907407407407407,0.0
36,5,3,0.01,nearst-neighbour,9.702014286810279,9.654896579573611,9.732058348659088,0.025032281135474732
36,5,3,0.02,nearst-neighbour,9.536979635320987,9.418015259721576,9.58006896507038,0.04337540184454001
36,5,3,0.03,nearst-neighbour,9.402002296758589,9.339177078777727,9.466610743260135,0.039054386618103405
36,5,3,0.04,nearst-neighbour,9.205259239738727,9.07082373029789,9.307097787368807,0.0758846000095787
36,5,3,0.05,nearst-neighbour,9.033503432533475,8.694081527301321,9.213499219401319,0.15814894957504305
36,5,3,0.060000000000000005,nearst-neighbour,8.861966077905594,8.510880051262145,9.03763785698288,0.16406910672734484
36,5,3,0.06999999999999999,nearst-neighbour,8.705657038999039,8.357462604194042,8.9116065534062,0.16023483697211346
36,5,3,0.08,nearst-neighbour,8.637925411977594,8.478936724560809,8.952200019041333,0.14268644389425134
36,5,3,0.09,nearst-neighbour,8.466574231921703,8.320407321178156,8.628766262355796,0.10059179528501544
36,5,3,0.09999999999999999,nearst-neighbour,8.19439150482159,7.954918255260992,8.455882046762778,0.17375827681868944
36,5,3,0.11,nearst-neighbour,8.269599080291506,7.89753317719874,8.545891114351141,0.2002548761705252
36,5,3,0.12,nearst-neighbour,7.937972674773268,7.468013329598575,8.603455787557111,0.3194796015759647
36,5,3,0.13,nearst-neighbour,7.9224435344356365,7.652352971403006,8.257001179332732,0.17985291977035886
36,5,3,0.14,nearst-neighbour,7.782681201721611,7.007959646447386,8.072182710857815,0.2885365086808501
36,5,3,0.15000000000000002,nearst-neighbour,7.680989649677073,7.041612496393025,8.094745233171697,0.2596480350970669
36,5,3,0.16,nearst-neighbour,7.725078929682115,7.235335721162123,8.108312099692752,0.24910093746566395
36,5,3,0.17,nearst-neighbour,7.408304610107699,6.6952589091335195,7.845168616069181,0.31855875945057155
36,5,3,0.18000000000000002,nearst-neighbour,7.460473258498214,7.081599086537595,7.846762699476843,0.22790633966964477
36,5,3,0.19,nearst-neighbour,7.396728312633951,7.094916251106901,7.7717490816234625,0.21510308619684698
36,5,3,0.2,nearst-neighbour,7.2053031734881685,6.877896834162519,7.4681808788346205,0.19355088346382715
36,5,3,0.21000000000000002,nearst-neighbour,7.158274755478823,6.5932474656980995,7.614274822065138,0.29456811891192025
36,5,3,0.22,nearst-neighbour,6.9146088603156155,6.558617695430941,7.299111607323727,0.18558456519466623
36,5,3,0.23,nearst-neighbour,6.740615872730257,6.20300353620544,7.379367223397842,0.37648392336272085
36,5,3,0.24000000000000002,nearst-neighbour,6.768898773821388,6.217403472071336,7.0728261828557555,0.26328355372059886
36,5,3,0.25,nearst-neighbour,6.535822676120523,5.921608327178926,6.93243966848605,0.259707352153339
36,5,3,0.26,nearst-neighbour,6.735363733749603,6.119533547055829,7.139580700480462,0.29924286837330927
36,5,3,0.27,nearst-neighbour,6.464106071438486,5.892083153404336,7.195223853432817,0.38903839414097335
36,5,3,0.28,nearst-neighbour,6.43853895004767,5.794177155598306,6.84622006088777,0.3685245689191331
36,5,3,0.29000000000000004,nearst-neighbour,6.428135716358706,6.2379426880917155,6.680605106274851,0.1448927247215903
36,5,3,0.3,nearst-neighbour,6.380715145913061,5.771067728310667,6.721399538668842,0.2870589459499668
36,5,3,0.31,nearst-neighbour,6.164759105221593,5.545635848819101,6.547963171930614,0.2945771560512829
36,5,3,0.32,nearst-neighbour,6.2083248368010375,5.382263824848324,6.661691284113696,0.38513283434781004
36,5,3,0.33,nearst-neighbour,6.229353959193498,5.585418634053064,6.761349982624042,0.3410894788402508
36,5,3,0.34,nearst-neighbour,5.819993158668216,4.910958415090617,6.484621512639619,0.462885123791855
36,5,3,0.35000000000000003,nearst-neighbour,5.912379912423627,5.464335938342662,6.347878119890455,0.2608145943889907
36,5,3,0.36000000000000004,nearst-neighbour,5.844704354448324,5.440760614640895,6.0997678549063945,0.1908089337401002
36,5,3,0.37,nearst-neighbour,6.050789413338117,5.513788449135036,6.463449162413843,0.29899434166975797
36,5,3,0.38,nearst-neighbour,5.762737896359008,4.915466909427812,6.5228854035203145,0.4445481165801342
36,5,3,0.39,nearst-neighbour,5.887936497267867,5.432112471926069,6.392997571407324,0.2567461687777599
36,5,3,0.4,nearst-neighbour,5.676641287044381,5.090047095927904,5.943107599511656,0.24266092727826502
36,5,3,0.41000000000000003,nearst-neighbour,5.429784383808473,4.863922137848032,5.698428350477501,0.22495894546053138
36,5,3,0.42000000000000004,nearst-neighbour,5.3879408930494,5.011092357198932,5.831922190170322,0.25278259904389627
36,5,3,0.43,nearst-neighbour,5.479566404834073,4.941111663326054,6.110353616563835,0.3795203151658788
36,5,3,0.44,nearst-neighbour,5.313887356417968,4.588583666757067,5.969592287293942,0.42499611768378015
36,5,3,0.45,nearst-neighbour,5.494067788934712,5.160326214444301,5.801738465965082,0.20222622981125743
36,5,3,0.46,nearst-neighbour,5.27692594581606,4.744037919752073,6.011176584855565,0.36389249132705753
36,5,3,0.47000000000000003,nearst-neighbour,5.231265865795412,4.527238871870374,5.5322950036077065,0.278685648802463
36,5,3,0.48000000000000004,nearst-neighbour,5.3496555254100135,4.63122932704838,5.929295189665344,0.43504212991119384
36,5,3,0.49,nearst-neighbour,5.275528783958085,4.656909223463995,5.874239927227103,0.3672273511000086
36,5,3,0.0,shift_1,10.0,10.0,10.0,0.0
36,5,3,0.01,shift_1,9.745961050303489,9.688870124278203,9.811353711012785,0.03960497048764422
36,5,3,0.02,shift_1,9.532116299887871,9.378412344809256,9.615317950912882,0.07688360353411149
36,5,3,0.03,shift_1,9.260239816971449,9.003799357535907,9.458061643653975,0.1517563830730226
36,5,3,0.04,shift_1,9.052009265861132,8.508318185277732,9.262402750936136,0.23430879206565552
36,5,3,0.05,shift_1,8.802744302914906,8.578227452876556,9.089037797852997,0.15183963524110697
36,5,3,0.060000000000000005,shift_1,8.6366081493809,8.059606400192777,8.874950842023278,0.22095229006158384
36,5,3,0.06999999999999999,shift_1,8.571574173730658,8.16992339835608,8.828920998004905,0.1973045911497663
36,5,3,0.08,shift_1,8.358847946722674,8.094098490706077,8.74197370344502,0.17097127797391842
36,5,3,0.09,shift_1,8.09546747929274,7.81172839297708,8.422058176111332,0.2219116838207005
36,5,3,0.09999999999999999,shift_1,7.820674181225856,7.075978068990886,8.1634563394265,0.31328756050137624
36,5,3,0.11,shift_1,7.887762249204407,7.291178513920443,8.33273621582225,0.30302506922550076
36,5,3,0.12,shift_1,7.58641936356438,7.170329333297047,7.8892706290262264,0.22725375349545746
36,5,3,0.13,shift_1,7.4868545218301605,6.899562654717128,7.875217538580764,0.339189590078017
36,5,3,0.14,shift_1,7.277131043897869,6.260735257418957,7.951021027399968,0.5078614072045763
36,5,3,0.15000000000000002,shift_1,7.204956059792144,6.87793259405464,7.569351281925631,0.24511606718493067
36,5,3,0.16,shift_1,7.097629045490173,6.107833643772178,7.5202058410410295,0.4263109680903703
36,5,3,0.17,shift_1,7.078726000916828,6.506226630406646,7.574554640342785,0.3243137516811676
36,5,3,0.18000000000000002,shift_1,6.9604174166659005,6.09149822975034,7.585042649973254,0.4111628049480066
36,5,3,0.19,shift_1,6.7191148491075,6.003546053769925,7.294356619770794,0.34437163334685644
36,5,3,0.2,shift_1,6.763804009620424,5.626752489028239,7.384550423223329,0.510576466166959
36,5,3,0.21000000000000002,shift_1,6.626248795125238,5.6394482602669775,7.097939051197015,0.37525885010967885
36,5,3,0.22,shift_1,6.589735650044114,6.159734236585816,7.114495991599183,0.27423664887071075
36,5,3,0.23,shift_1,6.298369451016571,5.673690249818086,6.728820532670424,0.30223071910150623
36,5,3,0.24000000000000002,shift_1,6.196962201587587,5.6861499422799815,6.412763771781578,0.20263622282610969
36,5,3,0.25,shift_1,6.078514663506882,5.09296914973691,6.451288914395847,0.3848970758059154
36,5,3,0.26,shift_1,6.108711031719013,5.374346439351916,6.50695334383175,0.36181719143969887
36,5,3,0.27,shift_1,5.988754874019252,5.072392507059352,6.3939738581088115,0.3749387746978251
36,5,3,0.28,shift_1,5.884622214695914,4.878251291517381,6.558771450005638,0.5334773397881218
36,5,3,0.29000000000000004,shift_1,5.8598473163488185,5.341301547105699,6.58401465877502,0.3316225660340632
36,5,3,0.3,shift_1,5.773014218127994,5.514491423153307,6.003683248849949,0.17061921994700022
36,5,3,0.31,shift_1,5.656819710127916,4.610562716536282,6.269301775066272,0.5882484033600165
36,5,3,0.32,shift_1,5.578842432871815,5.275693923450909,6.125558706150913,0.28514850486939675
36,5,3,0.33,shift_1,5.515539568162678,4.34048506176659,6.158708198987142,0.543254335695347
36,5,3,0.34,shift_1,5.310488054394985,4.785082600587892,6.18060607959634,0.39635232379763286
36,5,3,0.35000000000000003,shift_1,5.3255957452798475,4.895024969509416,6.205816628274867,0.43370277683378
36,5,3,0.36000000000000004,shift_1,5.214116188928616,4.672139423606645,5.782260589260028,0.3305733483907254
36,5,3,0.37,shift_1,5.2411719004354245,4.18226173096973,5.771430504857589,0.41978241205821554
36,5,3,0.38,shift_1,5.220218606004996,4.418141335043023,5.9260791617562045,0.4232433890239678
36,5,3,0.39,shift_1,5.138976889924708,4.724074760940585,5.453299844816964,0.23185826206040266
36,5,3,0.4,shift_1,4.760780576401276,4.124008025659196,5.409525557671163,0.40939195251631716
36,5,3,0.41000000000000003,shift_1,4.810157795895928,3.3435617572055,5.280758463243813,0.5831382857936321
36,5,3,0.42000000000000004,shift_1,4.854763560419303,4.056198179307718,5.496789119324891,0.4303572154956181
36,5,3,0.43,shift_1,4.918636049911688,4.547830361315496,5.385652796097935,0.26866962568277286
36,5,3,0.44,shift_1,4.816724171476568,4.485546449934926,5.00092294523866,0.14416697844489862
36,5,3,0.45,shift_1,4.730999964836245,4.051742150315041,5.246137683986389,0.36136053322106226
36,5,3,0.46,shift_1,4.4750082181756206,4.0769520901051965,5.071814033560153,0.29261155871578304
36,5,3,0.47000000000000003,shift_1,4.50578480615197,4.194981845862791,4.984825066381198,0.22281342655813685
36,5,3,0.48000000000000004,shift_1,4.591478741782415,3.9567984785491443,5.357021087561886,0.374330276329163
36,5,3,0.49,shift_1,4.815115920110778,4.520196103328469,5.339313281673346,0.23833770625276188
36,5,3,0.0,shift_half,4.000000000000001,4.000000000000001,4.000000000000001,0.0
36,5,3,0.01,shift_half,3.997449727572466,3.994640789907296,3.9996126351133303,0.0016443486114041117
36,5,3,0.02,shift_half,3.994557175364443,3.9873743024995454,3.998530947768662,0.003133111400440653
