V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_MP_ASP,Phi_NEXU[Gbps],init_time[s],solving_time[s],peak_RAM[MB]
16,5,uniform,2.999999999999999,2.005180557671796,320.8288892274875,2.268918039145069,424.20512820512823,0.06000638008117676,0.011945247650146484,0.258094
16,5,shift_1,3.0,0.6666666666666666,106.66666666666667,3.0,106.66666666666667,0.055639028549194336,0.007225513458251953,0.444833
16,5,shift_quater,2.9999999999999996,0.4666666666666666,74.66666666666667,2.8,80.0,0.0553741455078125,0.00695347785949707,0.473596
16,5,shift_half,3.0,0.8571428571428571,137.14285714285714,2.5714285714285716,160.0,0.054747581481933594,0.0070416927337646484,0.49867
16,5,diagonal_1,3.0,1.0909090909090908,174.54545454545453,2.4545454545454546,213.33333333333331,0.055702924728393555,0.007259845733642578,0.49867
16,5,diagonal_quater,2.9999999999999996,0.7567567567567567,121.0810810810811,2.27027027027027,160.0,0.05672907829284668,0.0072557926177978516,0.49867
25,6,uniform,3.000000000000001,1.847525635309853,461.881408827463,1.9942041908158719,694.8356807511735,0.1717987060546875,0.052340030670166016,1.343727
25,6,shift_1,3.0,0.6,150.0,1.8,250.0,0.1711282730102539,0.016750574111938477,1.379435
25,6,shift_quater,3.0,0.588235294117647,147.05882352941174,1.764705882352941,250.0,0.15531635284423828,0.01533651351928711,1.417873
25,6,shift_half,3.0000000000000004,0.7241379310344829,181.03448275862067,2.1724137931034484,250.0,0.1643662452697754,0.01807427406311035,1.45646
25,6,diagonal_1,3.0,1.0,250.0,3.0,250.0,0.16764450073242188,0.016350269317626953,1.494679
25,6,diagonal_quater,3.0,1.0,250.0,3.0,250.0,0.16824579238891602,0.016526222229003906,1.530176
36,7,uniform,3.0000000000000004,1.713606391072787,822.5310677149378,2.0268830839462346,1217.432432432432,0.4148368835449219,0.25668764114379883,3.170869
36,7,shift_1,3.0,0.375,180.0,3.0,180.0,0.41286611557006836,0.04395174980163574,3.170869
36,7,shift_quater,2.999999999999999,0.4499999999999999,216.0,1.7999999999999996,359.99999999999994,0.39815211296081543,0.03708386421203613,3.170869
36,7,shift_half,2.9999999999999996,0.6749999999999999,324.0,2.6999999999999997,360.0,0.3760099411010742,0.03390908241271973,3.170869
36,7,diagonal_1,3.000000000000001,0.7086614173228346,340.15748031496054,2.8346456692913384,360.0,0.35717296600341797,0.05665445327758789,3.170869
36,7,diagonal_quater,2.9999999999999996,0.5950881612090679,285.64231738035267,2.3803526448362717,360.0,0.36859679222106934,0.03179669380187988,3.170869
49,8,uniform,3.000000000000003,1.990485203771626,1300.4503331307942,1.9856938736107852,1959.9999999999998,0.8532392978668213,1.0018539428710938,5.831425
49,8,shift_1,3.0000000000000004,0.36000000000000004,235.19999999999996,2.8800000000000003,244.99999999999997,0.7448463439941406,0.06582188606262207,5.831425
49,8,shift_quater,3.0,0.5901639344262295,385.5737704918033,2.360655737704918,490.00000000000006,0.756913423538208,0.06799077987670898,5.831425
49,8,shift_half,3.0,0.7142857142857142,466.6666666666666,2.8571428571428568,490.0,0.7475094795227051,0.06477117538452148,5.831425
49,8,diagonal_1,3.0,0.6,392.0,2.4,490.0,0.7571134567260742,0.06341004371643066,5.831425
49,8,diagonal_quater,3.0,0.8888888888888887,580.7407407407406,2.222222222222222,784.0,0.7558784484863281,0.07039213180541992,5.831425
64,9,uniform,3.000000000000004,1.8286439970666577,1950.5535968710994,2.100396832445784,2785.97867803838,1.5275235176086426,1.2605624198913574,11.320492
64,9,shift_1,3.0,0.3,320.0,3.0,320.0,1.5109143257141113,0.15050292015075684,11.336747
64,9,shift_quater,2.9999999999999996,0.38048780487804873,405.8536585365853,1.9024390243902434,640.0,1.6164531707763672,0.17363882064819336,11.336955
64,9,shift_half,2.999999999999999,0.2769230769230769,295.3846153846155,2.7692307692307687,320.00000000000006,1.6148133277893066,0.15064501762390137,11.336955
64,9,diagonal_1,2.999999999999999,0.5793103448275861,617.9310344827586,2.8965517241379306,639.9999999999999,1.6777031421661377,0.15703272819519043,11.336955
64,9,diagonal_quater,2.999999999999999,0.557142857142857,594.2857142857143,2.785714285714285,640.0,1.5876598358154297,0.1522214412689209,11.336955
81,10,uniform,2.999999999999999,1.95797031594742,2643.259926529018,2.0426936372828775,3882.0210896309336,2.8279879093170166,3.2576239109039307,19.285695
81,10,shift_1,3.0,0.3,405.0,3.0,405.0,2.79720401763916,0.2811582088470459,19.287167
81,10,shift_quater,3.000000000000001,0.32690695725062874,441.32439228834863,2.9421626152556586,450.0,2.679394006729126,0.2780778408050537,19.287373
81,10,shift_half,3.0,0.375,506.25,3.0,506.25,2.713515043258667,0.28037381172180176,19.287603
81,10,diagonal_1,3.0,0.5684210526315789,767.3684210526318,2.8421052631578947,810.0000000000002,2.652644634246826,0.27817392349243164,19.287746
81,10,diagonal_quater,3.000000000000001,0.4404844073539563,594.6539499278408,1.982179833092803,900.0,2.720369338989258,0.2839484214782715,19.287746
100,11,uniform,3.0000000000000044,1.8065353686383134,3613.070737276621,2.0996059083628342,5162.498432994859,4.900546550750732,8.0040283203125,31.980716
100,11,shift_1,3.0,0.25,500.0,3.0,500.0,4.898805141448975,0.42032289505004883,31.980716
100,11,shift_quater,3.0,0.25,500.0,3.0,500.0,4.864290714263916,0.4217648506164551,31.981128
100,11,shift_half,3.0,0.375,750.0,2.25,1000.0,4.8631792068481445,0.47322630882263184,31.98133
100,11,diagonal_1,3.0,0.5,1000.0,3.0,1000.0,4.925768852233887,0.4706401824951172,31.981446
100,11,diagonal_quater,2.999999999999999,0.4583333333333333,916.666666666667,2.7499999999999996,1000.0000000000001,4.892694473266602,0.42621350288391113,31.981531
